Jessie Royce Landis
John Landis
Kenesaw Mountain Landis
Reed G. Landis
Hobie Landrith
Eric Lane 
Will Lang
Sherry Lansing
Alison LaPlaca
Angelo J. LaPietra
John Lardner 
Ring Lardner
Ring Lardner
Norm Larsen
René-Robert Cavelier
Kirke La Shelle
Albert Lasker
Johnny Lattner
Arnold Laven
Jackie LaVine
Ralph Lawler
Carol Lawrence
Victor F. Lawson
Don Laz
Cloris Leachman
Russell Lee 
Natasha Leggero
Charlie Leibrandt
Mark Leiter
John D. LeMay
Don Lenhardt
Harry Lennix
Thomas Lennon 
Rick Lenz
Dutch Leonard 
Leopold and Loeb
Lawrence Leritz
Leo Lerner
Jim Les
Donald Leslie
Ronnie Lester
Tracy Letts
Brian Levant
Max Levchin
Charles Levin 
Samm Levine
King Levinsky
Steven Levitt
Marv Levy
Greg Lewis 
J. Hamilton Lewis
Monica Lewis
Ramsey Lewis
Anna Li
Dennis Lick
Jeffrey Lieber
DeAndre Liggins
Arlene Limas
Abraham Lincoln
Mary Todd Lincoln
Robert Todd Lincoln
Edward Lindberg
Charles Magnus Lindgren
John R. Lindgren
Justa Lindgren
Benjamin F. Lindheimer
Vachel Lindsay
Freddie Lindstrom
Dan Lipinski
Bill Lipinski
Clara Lipman
Johnny Lira
Peter Lisagor
Rusty Lisch
J. J. Liu
Shaun Livingston
Danny Lloyd
Vince Lloyd
Dick Locher
Frank J. Loesch
Nils Lofgren
Johnny Loftus
John A. Logan
John Logan 
Joseph Lombardo
Dutch Lonborg
Chuck Long
Horatio G. Loomis
Richard Long 
Frank Loomis
John Patrick Looney
Ramón E. López
Fred Lorenzen
William Lorimer 
George Lott
Julia Louis-Dreyfus
Tony Lovato
Bob Love
Owen Lovejoy
Frank Orren Lowden
Alexander Loyd
Scott W. Lucas
Sid Luckman
Ludacris
Larry Lujack
Deanna Lund
Greg Luzinski
Jane Lynch
John Lynch 
Fred Lynn
Ginger Lynn
Janet Lynn
Ted Lyons
Evan Lysacek
Bernie Mac
Charles MacArthur
Spanky and Our Gang
Justina Machado
Helen Mack
Peter F. Mack
Sam Mack
Pete Mackanin
Rob Mackowiak
Archibald MacLeish
Fred MacMurray
Bart Macomber
Earle S. MacPherson
Martin B. Madden
David M. Maddox
Amy Madigan
Edward Rell Madigan
Lisa Madigan
Michael Madigan
Slip Madigan
Bill Madlock
Michael Madsen
Virginia Madsen
Corey Maggette
Elizabeth Magie
Sandra Magnus
Christine Magnuson
Ron Mahay
Maureen Maher
Jock Mahoney
John Mahoney
Gil Mains
J. Earl Major
Karl Malden
Terrence Malick
John Malkovich
Dorothy Malone
David Mamet
Sammy Mandell
Larry Manetti
Harry Manfredini
Camryn Manheim
Lewis Manilow
Carol Mann
James Robert Mann 
Michael Mann 
Joe Mantegna
Joe Mantello
Ray Manzarek
Carol Marin
Shawn Marion
Jerry Markbreit
Gene Markey
Brit Marling
Frank Clarence Mars
Kenneth Mars
Benjamin F. Marsh
Mike Marshall 
Samuel S. Marshall
Cuonzo Martin
LaRue Martin
Lynn Morley Martin
Todd Martin
Richard Martini
Richard Marx
Russell Maryland
Ron Masak
Noah M. Mason
Roswell B. Mason
William E. Mason
Edgar Lee Masters
Mary Elizabeth Mastrantonio
Mary Matalin
Marlee Matlin
Thad Matta
Joel Aldrich Matteson
Carl Mauck
Bill Mauldin
Jason Maxiell
Dal Maxvill
Tiny Maxwell
Elaine May
George S. May
William L. May
Oscar F. Mayer
Curtis Mayfield
Stanley Mazor
Marin Mazzie
James McAndrews
Brian McBride
Chi McBride
Steve McCall 
Oliver McCall
Mercedes McCambridge
Terrence McCann
Larry McCarren
Jenny McCarthy
Melissa McCarthy
Constance McCashin
Michael McCaskey
Virginia Halas McCaskey
Sergio McClain
Gerald McClellan
John Alexander McClernand
Robert McClory
Mike McCormack 
Cyrus McCormick
Edith Rockefeller McCormick
Robert R. McCormick
Ruth Hanna McCormick
Walter McCornack
LisaRaye McCoy-Misick
Johnston McCulley
John T. McCutcheon
John McDonough 
Frances McDormand
Tatyana McFadden
T. J. McFarland
Carla McGhee
Tyler McGill
Elizabeth McGovern
Bob McGrath
Roger McGuinn
Donald McHenry
William McHenry
Tim McIlrath
Adam McKay
Raymond S. McKeough
William B. McKinley
Denny McLain
John McLean 
Frederic McLaughlin
Sherrick McManis
James McManus
Ernie McMillan
Bob McMillen 
Rolla C. McMillen
Donovan McNabb
Barbara McNair
Andrew McNally
John McNaughton
Don McNeill 
Marcus McNeill
James McNerney
James McParland
Jimmy McPartland
Ryan McPartlin
Samuel McRoberts
George J. Mecherle
Joseph Medill
Chris Medina
Mark Medoff
Patrick Meek
Bill Mehlhorn
Garry Meier
Merrill C. Meigs
Gene Melchiorre
Chuck Mellor
Rich Melman
John Willis Menard
Pierre Menard
Rashard Mendenhall
Alex Meneses
Joanna Merlin
Charles Edward Merriam
Aries Merritt
Laurie Metcalf
Ralph Metcalfe
Joey Meyer 
Ray Meyer
M. Alfred Michaelson
Robert H. Michel
Mrs. Lee Mida
Ludwig Mies van der Rohe
George Mikan
Stan Mikita
Abner Mikva
Darius Miles
Penelope Milford
Bob Miller 
Bob Miller 
Red Miller
Steve Miller 
Robert Andrews Millikan
Isaac Lawrence Milliken
Donna Mills
Douglas R. Mills
Phoebe Mills
Sherrill Milnes
Bob Miner
Vincente Minnelli
Minnie Minoso
Martha Minow
Bob Mionske
Jacquelyn Mitchard
John Francis Mitchell
Roscoe Mitchell
Nazr Mohammed
Jim Molinari
Harriet Monroe
Meredith Monroe
Eric Monte
Dwight L. Moody
William Vaughn Moody
Christina Moore
Clayton Moore
Stephen Moore 
Pablo Morales
Bugs Moran
Jim Moran 
Tom Morello
Cindy Morgan
Helen Morgan
Read Morgan
Buckner Stith Morris
Johnny Morris 
Lamorne Morris
Max Morris
Allie Morrison
Jennifer Morrison
Karen Morrison-Comstock
William Ralls Morrison
Joy Morton
Lorraine H. Morton
John Mosca
Mark Moses
Senta Moses
Markos Moulitsas
Samuel W. Moulton
Anson Mount
Edgar Ansel Mowrer
Paul Scott Mowrer
John Moyer 
Mr. T
Jerry Muckensturm
Jessie Mueller
