James Shields
Henrik Shipstead
Francis Shoemaker
BeBe Shopp
Bob Short
Henry Hastings Sibley
Christopher Sieber
Dick Siebert
Gerry Sikorski
Clifford D. Simak
Richard Simmons 
George Sitts
Slug 
Roy Smalley 
Jack Smight
Bruce Smith 
Chad Smith
Edward Everett Smith
George Ross Smith
Larry H. Smith
Lyndon Ambrose Smith
Onterrio Smith
Phillips Waller Smith
Raonall Smith
Robert Smith 
Wyatt Smith
Fred Smoot
Josiah Snelling
Samuel Snider
Zach Sobiech
Ben Sobieski
Alec Soth
Konrad K. Solberg
Kathleen Soliah
Gordon Solie
Jesse Solomon
Spenser J. Somers
Rich Sommer
Stephen Sommers
Gale Sondergaard
John Sontag
Kevin Sorbo
Richard K. Sorenson
Ann Sothern
Matt Spaeth
Allan Spear
LaVyrle Spencer
Lili St. Cyr
Paul St. Peter
Arlan Stangeland
Maurice Stans
Frank Starkey
Harold Stassen
Ozora P. Stearns
Franklin Steele
Halvor Steenerson
Andy Steensma
Heidemarie M. Stefanyshyn-Piper
Will Steger
Terry Steinbach
Helen Stenborg
Phil Sterner
Cliff Sterrett
Todd Steussie
Frederick Stevens 
John H. Stevens
Jacob H. Stewart
Bob Stinson
Tommy Stinson
Carl Stockdale
Cal Stoll
Erik Stolhanske
Horace B. Strait
Korey Stringer
Charles Strite
Eric Strobel
Mike Stuart
Scott Studwell
Terrell Suggs
George H. Sullivan
Clinton Sundberg
Milt Sunde
David C. Sutherland III
Steve Sviggum
Curt Swan
Lori Swanson
Nick Swardson
Henry Adoniram Swift
William Irvin Swoope
Taoyateduta
Kevin Tapani
Thomas Tapeh
Fran Tarkenton
John Tate
James Albertus Tawney
Glen Taylor
Travis Taylor 
Maureen Teefy
Henry Teigan
Wayne Terwilliger
Stew Thornley
Dontarrious Thomas
George Thomas 
Henry Thomas 
Butch Thompson
Lea Thompson
Edward John Thye
Steve Tibbetts
Mike Tice
Cheryl Tiegs
Tiny Tim 
Mick Tingelhoff
Analeigh Tipton
Mike Todd
César Tovar
Charles A. Towne
A. C. Townley
Jayne Trcka
Martin Edward Trench
W. D. Twichell
Anne Tyler
Kenechi Udeze
Brenda Ueland
Lenore Ulric
Bob Ulrich
Jay Underwood
Jordis Unga
Anne Ursu
John Vachon
Norm Van Brocklin
Carl Van Dyke
John Van Dyke
Samuel Rinnah Van Sant
Shantel VanSanten
Sofia Vassilieva
Vince Vaughn
Thorstein Veblen
Bruce Vento
Jesse Ventura
Zoilo Versalles
John William Vessey
Jim Vickerman
Frank Viola
Pamela Vitale
Andrew Volstead
Lindsey Vonn
Ana Voog
Kevin Wacholz
James Wakefield
DeWitt Wallace
Harriet G. Walker
T. B. Walker
Steve Walsh 
Sean Waltman
Tim Walz
Lou Wangberg
John Warne
Lonnie Warwick
Cadwallader Washburn
William D. Washburn
Gene Washington 
Vin Weber
Jon Wefald
Knud Wefald
Mark Weigle
Chris Weinke
Jeff Weise
Paul Wellstone
Sheila Wellstone
Carl L. Weschcke
Paul Westerberg
Wes Westrum
Jacob Wetterling
Patty Wetterling
Friedrich Weyerhäuser
Lindsay Whalen
David Wheaton
Blake Wheeler
Ed White 
Milo White
Minor White
Sammy White 
Benson Whitney
Richard Widmark
Roy Wier
James Russell Wiggins
Jermaine Wiggins
Laura Ingalls Wilder
Zygi Wilf
Roy Wilkins
Bud Wilkinson
Morton S. Wilkinson
Warren William
Auburn 
Brian Williams 
Kevin Williams 
Moe Williams
Pat Williams 
Stokley Williams
Tom Williams 
Troy Williamson
Paul Willson
August Wilson
Dan Wilson 
Dorothy Wilson 
Eugene McLanahan Wilson
Rainn Wilson
Sheree J. Wilson
Thomas Wilson 
Wade Wilson 
Harold Windingstad
William Windom
Antoine Winfield
Dave Winfield
Eliza Winston
Roy Winston
Max Winter
Ted Winter
Theodore Wirth
Cory Withrow
Wally Wood
Wolfman Jack
Jerome J. Workman
Bryan Thao Worra
Al Worthington
John Wozniak
Donald O. Wright
Michael Wuertz
Irma Wyman
Cedric Yarbrough
Adam Young
Steve Zabel
Steve Zahn
Martin Zellar
Kurt Zellers
Tom Zenk
Gary Zimmerman
Bob Dylan
Andrew Zimmern
Doug Zmolek
Fred Zollner
Tay Zonday
Buck Zumhofe
John M. Zwach
American Head Charge
The Andrews Sisters
Atmosphere 
Auburn 
Babes in Toyland 
The Bad Plus
The Castaways
Crow 
Curtiss A
Dillinger Four
Doomtree
Gear Daddies
Har Mar Superstar
Hüsker Dü
Information Society 
The Jayhawks
The Jets 
Kublai Khan 
Lipps Inc
Martin Zellar
Mint Condition
Motion City Soundtrack
Next 
Oddjobs
Owl City
The Replacements 
Semisonic
Small Towns Burn A Little Slower
Soul Asylum
Sounds of Blackness
The Soviettes
The Suburbs
The Suicide Commandos
Tapes 'n Tapes
The Time 
The Trashmen
Trip Shakespeare
The Wallets
Paul Bunyan 
Betty Crocker
Jolly Green Giant
Angus MacGyver
Minnehaha
Mary Richards
Pillsbury Doughboy
Rocky and Bullwinkle
Rose Nylund
Ben Linus
Juno MacGuff
Marshall Eriksen
Candy Quackenbush
Marge Gunderson
Category:People from Minnesota
Category:Articles containing potentially dated statements from 2013
Category:All articles containing potentially dated statements
Category:Articles to be expanded from July 2010
Category:All articles to be expanded
Category:Articles with empty sections from July 2010
Category:All articles with empty sections
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
ミネソタ州出身の人物一覧 – Japanese
wikimedia:Privacy policy
